Provincias	Tamaño de los municipios	Periodo	Total
Total	De 30.001 a 50.000	2003	76
Total	De 30.001 a 50.000	2002	78
Total	De 30.001 a 50.000	2001	77
Total	De 30.001 a 50.000	2000	73
Total	De 30.001 a 50.000	1999	69
Total	De 30.001 a 50.000	1998	65
Total	De 30.001 a 50.000	1997	""
Total	De 30.001 a 50.000	1996	65
Total	De 50.001 a 100.000	2021	86
Total	De 50.001 a 100.000	2020	86
Total	De 50.001 a 100.000	2019	85
Total	De 50.001 a 100.000	2018	82
Total	De 50.001 a 100.000	2017	83
Total	De 50.001 a 100.000	2016	81
Total	De 50.001 a 100.000	2015	83
Total	De 50.001 a 100.000	2014	83
Total	De 50.001 a 100.000	2013	83
Total	De 50.001 a 100.000	2012	82
Total	De 50.001 a 100.000	2011	82
Total	De 50.001 a 100.000	2010	83
Total	De 50.001 a 100.000	2009	83
Total	De 50.001 a 100.000	2008	84
Total	De 50.001 a 100.000	2007	77
Total	De 50.001 a 100.000	2006	76
Total	De 50.001 a 100.000	2005	74
Total	De 50.001 a 100.000	2004	74
Total	De 50.001 a 100.000	2003	73
Total	De 50.001 a 100.000	2002	66
Total	De 50.001 a 100.000	2001	62
Total	De 50.001 a 100.000	2000	63
Total	De 50.001 a 100.000	1999	63
Total	De 50.001 a 100.000	1998	64
Total	De 50.001 a 100.000	1997	""
Total	De 50.001 a 100.000	1996	60
Total	De 100.001 a 500.000	2021	57
Total	De 100.001 a 500.000	2020	57
Total	De 100.001 a 500.000	2019	57
Total	De 100.001 a 500.000	2018	57
Total	De 100.001 a 500.000	2017	56
Total	De 100.001 a 500.000	2016	56
Total	De 100.001 a 500.000	2015	56
Total	De 100.001 a 500.000	2014	56
Total	De 100.001 a 500.000	2013	57
Total	De 100.001 a 500.000	2012	57
Total	De 100.001 a 500.000	2011	57
Total	De 100.001 a 500.000	2010	56
Total	De 100.001 a 500.000	2009	56
Total	De 100.001 a 500.000	2008	55
Total	De 100.001 a 500.000	2007	53
Total	De 100.001 a 500.000	2006	53
Total	De 100.001 a 500.000	2005	52
Total	De 100.001 a 500.000	2004	52
Total	De 100.001 a 500.000	2003	51
Total	De 100.001 a 500.000	2002	51
Total	De 100.001 a 500.000	2001	50
Total	De 100.001 a 500.000	2000	49
Total	De 100.001 a 500.000	1999	49
Total	De 100.001 a 500.000	1998	48
Total	De 100.001 a 500.000	1997	""
Total	De 100.001 a 500.000	1996	49
Total	Más de 500.000	2021	6
Total	Más de 500.000	2020	6
Total	Más de 500.000	2019	6
Total	Más de 500.000	2018	6
Total	Más de 500.000	2017	6
Total	Más de 500.000	2016	6
Total	Más de 500.000	2015	6
Total	Más de 500.000	2014	6
Total	Más de 500.000	2013	6
Total	Más de 500.000	2012	6
Total	Más de 500.000	2011	6
Total	Más de 500.000	2010	6
Total	Más de 500.000	2009	6
Total	Más de 500.000	2008	6
Total	Más de 500.000	2007	6
Total	Más de 500.000	2006	6
Total	Más de 500.000	2005	6
Total	Más de 500.000	2004	6
Total	Más de 500.000	2003	6
Total	Más de 500.000	2002	6
Total	Más de 500.000	2001	6
Total	Más de 500.000	2000	6
Total	Más de 500.000	1999	6
Total	Más de 500.000	1998	6
Total	Más de 500.000	1997	""
Total	Más de 500.000	1996	6
02 Albacete	Total	2021	87
02 Albacete	Total	2020	87
02 Albacete	Total	2019	87
02 Albacete	Total	2018	87
02 Albacete	Total	2017	87
02 Albacete	Total	2016	87
02 Albacete	Total	2015	87
02 Albacete	Total	2014	87
02 Albacete	Total	2013	87
02 Albacete	Total	2012	87
02 Albacete	Total	2011	87
02 Albacete	Total	2010	87
02 Albacete	Total	2009	87
02 Albacete	Total	2008	87
02 Albacete	Total	2007	87
02 Albacete	Total	2006	87
02 Albacete	Total	2005	87
02 Albacete	Total	2004	87
02 Albacete	Total	2003	87
02 Albacete	Total	2002	87
02 Albacete	Total	2001	87
02 Albacete	Total	2000	86
02 Albacete	Total	1999	86
02 Albacete	Total	1998	86
02 Albacete	Total	1997	""
02 Albacete	Total	1996	86
02 Albacete	Menos de 101	2021	3
02 Albacete	Menos de 101	2020	3
02 Albacete	Menos de 101	2019	2
02 Albacete	Menos de 101	2018	3
02 Albacete	Menos de 101	2017	1
02 Albacete	Menos de 101	2016	1
02 Albacete	Menos de 101	2015	1
02 Albacete	Menos de 101	2014	1
02 Albacete	Menos de 101	2013	1
02 Albacete	Menos de 101	2012	1
02 Albacete	Menos de 101	2011	1
02 Albacete	Menos de 101	2010	2
02 Albacete	Menos de 101	2009	2
02 Albacete	Menos de 101	2008	2
02 Albacete	Menos de 101	2007	1
