Provincias	Tamaño de los municipios	Periodo	Total
41 Sevilla	De 10.001 a 20.000	1997	""
41 Sevilla	De 10.001 a 20.000	1996	16
41 Sevilla	De 20.001 a 30.000	2021	8
41 Sevilla	De 20.001 a 30.000	2020	8
41 Sevilla	De 20.001 a 30.000	2019	8
41 Sevilla	De 20.001 a 30.000	2018	8
41 Sevilla	De 20.001 a 30.000	2017	8
41 Sevilla	De 20.001 a 30.000	2016	8
41 Sevilla	De 20.001 a 30.000	2015	8
41 Sevilla	De 20.001 a 30.000	2014	8
41 Sevilla	De 20.001 a 30.000	2013	8
41 Sevilla	De 20.001 a 30.000	2012	9
41 Sevilla	De 20.001 a 30.000	2011	8
41 Sevilla	De 20.001 a 30.000	2010	8
41 Sevilla	De 20.001 a 30.000	2009	8
41 Sevilla	De 20.001 a 30.000	2008	7
41 Sevilla	De 20.001 a 30.000	2007	6
41 Sevilla	De 20.001 a 30.000	2006	7
41 Sevilla	De 20.001 a 30.000	2005	7
41 Sevilla	De 20.001 a 30.000	2004	6
41 Sevilla	De 20.001 a 30.000	2003	6
41 Sevilla	De 20.001 a 30.000	2002	7
41 Sevilla	De 20.001 a 30.000	2001	7
41 Sevilla	De 20.001 a 30.000	2000	7
41 Sevilla	De 20.001 a 30.000	1999	7
41 Sevilla	De 20.001 a 30.000	1998	7
41 Sevilla	De 20.001 a 30.000	1997	""
41 Sevilla	De 20.001 a 30.000	1996	7
41 Sevilla	De 30.001 a 50.000	2021	5
41 Sevilla	De 30.001 a 50.000	2020	5
41 Sevilla	De 30.001 a 50.000	2019	5
41 Sevilla	De 30.001 a 50.000	2018	5
41 Sevilla	De 30.001 a 50.000	2017	5
41 Sevilla	De 30.001 a 50.000	2016	5
41 Sevilla	De 30.001 a 50.000	2015	5
41 Sevilla	De 30.001 a 50.000	2014	5
41 Sevilla	De 30.001 a 50.000	2013	5
41 Sevilla	De 30.001 a 50.000	2012	4
41 Sevilla	De 30.001 a 50.000	2011	4
41 Sevilla	De 30.001 a 50.000	2010	4
41 Sevilla	De 30.001 a 50.000	2009	4
41 Sevilla	De 30.001 a 50.000	2008	4
41 Sevilla	De 30.001 a 50.000	2007	5
41 Sevilla	De 30.001 a 50.000	2006	5
41 Sevilla	De 30.001 a 50.000	2005	5
41 Sevilla	De 30.001 a 50.000	2004	5
41 Sevilla	De 30.001 a 50.000	2003	5
41 Sevilla	De 30.001 a 50.000	2002	4
41 Sevilla	De 30.001 a 50.000	2001	4
41 Sevilla	De 30.001 a 50.000	2000	4
41 Sevilla	De 30.001 a 50.000	1999	4
41 Sevilla	De 30.001 a 50.000	1998	4
41 Sevilla	De 30.001 a 50.000	1997	""
41 Sevilla	De 30.001 a 50.000	1996	4
41 Sevilla	De 50.001 a 100.000	2021	2
41 Sevilla	De 50.001 a 100.000	2020	2
41 Sevilla	De 50.001 a 100.000	2019	2
41 Sevilla	De 50.001 a 100.000	2018	2
41 Sevilla	De 50.001 a 100.000	2017	2
41 Sevilla	De 50.001 a 100.000	2016	2
41 Sevilla	De 50.001 a 100.000	2015	2
41 Sevilla	De 50.001 a 100.000	2014	2
41 Sevilla	De 50.001 a 100.000	2013	2
41 Sevilla	De 50.001 a 100.000	2012	2
41 Sevilla	De 50.001 a 100.000	2011	2
41 Sevilla	De 50.001 a 100.000	2010	2
41 Sevilla	De 50.001 a 100.000	2009	2
41 Sevilla	De 50.001 a 100.000	2008	2
41 Sevilla	De 50.001 a 100.000	2007	1
41 Sevilla	De 50.001 a 100.000	2006	1
41 Sevilla	De 50.001 a 100.000	2005	1
41 Sevilla	De 50.001 a 100.000	2004	1
41 Sevilla	De 50.001 a 100.000	2003	1
41 Sevilla	De 50.001 a 100.000	2002	1
41 Sevilla	De 50.001 a 100.000	2001	1
41 Sevilla	De 50.001 a 100.000	2000	2
41 Sevilla	De 50.001 a 100.000	1999	2
41 Sevilla	De 50.001 a 100.000	1998	2
41 Sevilla	De 50.001 a 100.000	1997	""
41 Sevilla	De 50.001 a 100.000	1996	2
41 Sevilla	De 100.001 a 500.000	2021	1
41 Sevilla	De 100.001 a 500.000	2020	1
41 Sevilla	De 100.001 a 500.000	2019	1
41 Sevilla	De 100.001 a 500.000	2018	1
41 Sevilla	De 100.001 a 500.000	2017	1
41 Sevilla	De 100.001 a 500.000	2016	1
41 Sevilla	De 100.001 a 500.000	2015	1
41 Sevilla	De 100.001 a 500.000	2014	1
41 Sevilla	De 100.001 a 500.000	2013	1
41 Sevilla	De 100.001 a 500.000	2012	1
41 Sevilla	De 100.001 a 500.000	2011	1
41 Sevilla	De 100.001 a 500.000	2010	1
41 Sevilla	De 100.001 a 500.000	2009	1
41 Sevilla	De 100.001 a 500.000	2008	1
41 Sevilla	De 100.001 a 500.000	2007	1
41 Sevilla	De 100.001 a 500.000	2006	1
41 Sevilla	De 100.001 a 500.000	2005	1
41 Sevilla	De 100.001 a 500.000	2004	1
41 Sevilla	De 100.001 a 500.000	2003	1
41 Sevilla	De 100.001 a 500.000	2002	1
41 Sevilla	De 100.001 a 500.000	2001	1
41 Sevilla	De 100.001 a 500.000	2000	0
41 Sevilla	De 100.001 a 500.000	1999	0
41 Sevilla	De 100.001 a 500.000	1998	0
41 Sevilla	De 100.001 a 500.000	1997	""
41 Sevilla	De 100.001 a 500.000	1996	0
41 Sevilla	Más de 500.000	2021	1
41 Sevilla	Más de 500.000	2020	1
41 Sevilla	Más de 500.000	2019	1
41 Sevilla	Más de 500.000	2018	1
41 Sevilla	Más de 500.000	2017	1
41 Sevilla	Más de 500.000	2016	1
41 Sevilla	Más de 500.000	2015	1
41 Sevilla	Más de 500.000	2014	1
41 Sevilla	Más de 500.000	2013	1
41 Sevilla	Más de 500.000	2012	1
41 Sevilla	Más de 500.000	2011	1
41 Sevilla	Más de 500.000	2010	1
41 Sevilla	Más de 500.000	2009	1
41 Sevilla	Más de 500.000	2008	1
41 Sevilla	Más de 500.000	2007	1
41 Sevilla	Más de 500.000	2006	1
41 Sevilla	Más de 500.000	2005	1
41 Sevilla	Más de 500.000	2004	1
41 Sevilla	Más de 500.000	2003	1
41 Sevilla	Más de 500.000	2002	1
41 Sevilla	Más de 500.000	2001	1
41 Sevilla	Más de 500.000	2000	1
41 Sevilla	Más de 500.000	1999	1
41 Sevilla	Más de 500.000	1998	1
41 Sevilla	Más de 500.000	1997	""
41 Sevilla	Más de 500.000	1996	1
42 Soria	Total	2021	183
42 Soria	Total	2020	183
42 Soria	Total	2019	183
42 Soria	Total	2018	183
42 Soria	Total	2017	183
42 Soria	Total	2016	183
42 Soria	Total	2015	183
42 Soria	Total	2014	183
42 Soria	Total	2013	183
42 Soria	Total	2012	183
42 Soria	Total	2011	183
42 Soria	Total	2010	183
42 Soria	Total	2009	183
42 Soria	Total	2008	183
42 Soria	Total	2007	183
42 Soria	Total	2006	183
42 Soria	Total	2005	183
42 Soria	Total	2004	183
42 Soria	Total	2003	183
42 Soria	Total	2002	183
42 Soria	Total	2001	183
42 Soria	Total	2000	183
42 Soria	Total	1999	183
42 Soria	Total	1998	183
42 Soria	Total	1997	""
42 Soria	Total	1996	183
42 Soria	Menos de 101	2021	119
42 Soria	Menos de 101	2020	118
42 Soria	Menos de 101	2019	117
42 Soria	Menos de 101	2018	116
42 Soria	Menos de 101	2017	116
42 Soria	Menos de 101	2016	115
42 Soria	Menos de 101	2015	114
42 Soria	Menos de 101	2014	115
42 Soria	Menos de 101	2013	113
42 Soria	Menos de 101	2012	112
42 Soria	Menos de 101	2011	106
42 Soria	Menos de 101	2010	102
42 Soria	Menos de 101	2009	106
42 Soria	Menos de 101	2008	106
42 Soria	Menos de 101	2007	102
42 Soria	Menos de 101	2006	93
42 Soria	Menos de 101	2005	96
42 Soria	Menos de 101	2004	94
42 Soria	Menos de 101	2003	91
42 Soria	Menos de 101	2002	91
42 Soria	Menos de 101	2001	89
42 Soria	Menos de 101	2000	86
42 Soria	Menos de 101	1999	85
42 Soria	Menos de 101	1998	86
42 Soria	Menos de 101	1997	""
42 Soria	Menos de 101	1996	81
42 Soria	De 101 a 500	2021	45
42 Soria	De 101 a 500	2020	46
42 Soria	De 101 a 500	2019	47
42 Soria	De 101 a 500	2018	48
42 Soria	De 101 a 500	2017	48
42 Soria	De 101 a 500	2016	48
42 Soria	De 101 a 500	2015	48
42 Soria	De 101 a 500	2014	47
42 Soria	De 101 a 500	2013	49
42 Soria	De 101 a 500	2012	50
42 Soria	De 101 a 500	2011	55
42 Soria	De 101 a 500	2010	59
42 Soria	De 101 a 500	2009	55
42 Soria	De 101 a 500	2008	55
42 Soria	De 101 a 500	2007	60
42 Soria	De 101 a 500	2006	70
42 Soria	De 101 a 500	2005	67
42 Soria	De 101 a 500	2004	69
42 Soria	De 101 a 500	2003	72
42 Soria	De 101 a 500	2002	72
42 Soria	De 101 a 500	2001	74
42 Soria	De 101 a 500	2000	78
42 Soria	De 101 a 500	1999	78
42 Soria	De 101 a 500	1998	77
42 Soria	De 101 a 500	1997	""
42 Soria	De 101 a 500	1996	81
42 Soria	De 501 a 1.000	2021	8
42 Soria	De 501 a 1.000	2020	8
42 Soria	De 501 a 1.000	2019	8
42 Soria	De 501 a 1.000	2018	8
42 Soria	De 501 a 1.000	2017	8
42 Soria	De 501 a 1.000	2016	9
42 Soria	De 501 a 1.000	2015	10
42 Soria	De 501 a 1.000	2014	10
42 Soria	De 501 a 1.000	2013	10
42 Soria	De 501 a 1.000	2012	10
42 Soria	De 501 a 1.000	2011	9
42 Soria	De 501 a 1.000	2010	9
42 Soria	De 501 a 1.000	2009	9
42 Soria	De 501 a 1.000	2008	10
42 Soria	De 501 a 1.000	2007	8
42 Soria	De 501 a 1.000	2006	7
42 Soria	De 501 a 1.000	2005	7
42 Soria	De 501 a 1.000	2004	7
42 Soria	De 501 a 1.000	2003	7
42 Soria	De 501 a 1.000	2002	8
42 Soria	De 501 a 1.000	2001	8
42 Soria	De 501 a 1.000	2000	7
42 Soria	De 501 a 1.000	1999	8
42 Soria	De 501 a 1.000	1998	8
42 Soria	De 501 a 1.000	1997	""
42 Soria	De 501 a 1.000	1996	9
42 Soria	De 1.001 a 2.000	2021	3
42 Soria	De 1.001 a 2.000	2020	3
42 Soria	De 1.001 a 2.000	2019	3
42 Soria	De 1.001 a 2.000	2018	3
42 Soria	De 1.001 a 2.000	2017	3
42 Soria	De 1.001 a 2.000	2016	3
42 Soria	De 1.001 a 2.000	2015	3
42 Soria	De 1.001 a 2.000	2014	3
42 Soria	De 1.001 a 2.000	2013	3
42 Soria	De 1.001 a 2.000	2012	3
42 Soria	De 1.001 a 2.000	2011	5
42 Soria	De 1.001 a 2.000	2010	5
42 Soria	De 1.001 a 2.000	2009	6
42 Soria	De 1.001 a 2.000	2008	5
42 Soria	De 1.001 a 2.000	2007	6
42 Soria	De 1.001 a 2.000	2006	6
42 Soria	De 1.001 a 2.000	2005	5
42 Soria	De 1.001 a 2.000	2004	5
42 Soria	De 1.001 a 2.000	2003	5
42 Soria	De 1.001 a 2.000	2002	4
42 Soria	De 1.001 a 2.000	2001	4
42 Soria	De 1.001 a 2.000	2000	4
42 Soria	De 1.001 a 2.000	1999	4
42 Soria	De 1.001 a 2.000	1998	4
42 Soria	De 1.001 a 2.000	1997	""
42 Soria	De 1.001 a 2.000	1996	3
42 Soria	De 2.001 a 3.000	2021	3
42 Soria	De 2.001 a 3.000	2020	3
42 Soria	De 2.001 a 3.000	2019	2
42 Soria	De 2.001 a 3.000	2018	2
42 Soria	De 2.001 a 3.000	2017	3
42 Soria	De 2.001 a 3.000	2016	2
42 Soria	De 2.001 a 3.000	2015	2
42 Soria	De 2.001 a 3.000	2014	2
42 Soria	De 2.001 a 3.000	2013	2
42 Soria	De 2.001 a 3.000	2012	2
42 Soria	De 2.001 a 3.000	2011	2
42 Soria	De 2.001 a 3.000	2010	2
42 Soria	De 2.001 a 3.000	2009	1
42 Soria	De 2.001 a 3.000	2008	1
42 Soria	De 2.001 a 3.000	2007	1
42 Soria	De 2.001 a 3.000	2006	1
42 Soria	De 2.001 a 3.000	2005	2
42 Soria	De 2.001 a 3.000	2004	2
42 Soria	De 2.001 a 3.000	2003	2
42 Soria	De 2.001 a 3.000	2002	2
42 Soria	De 2.001 a 3.000	2001	2
42 Soria	De 2.001 a 3.000	2000	2
42 Soria	De 2.001 a 3.000	1999	2
42 Soria	De 2.001 a 3.000	1998	2
42 Soria	De 2.001 a 3.000	1997	""
42 Soria	De 2.001 a 3.000	1996	3
42 Soria	De 3.001 a 5.000	2021	2
42 Soria	De 3.001 a 5.000	2020	2
42 Soria	De 3.001 a 5.000	2019	4
42 Soria	De 3.001 a 5.000	2018	4
42 Soria	De 3.001 a 5.000	2017	3
42 Soria	De 3.001 a 5.000	2016	3
42 Soria	De 3.001 a 5.000	2015	3
42 Soria	De 3.001 a 5.000	2014	3
42 Soria	De 3.001 a 5.000	2013	3
42 Soria	De 3.001 a 5.000	2012	3
42 Soria	De 3.001 a 5.000	2011	3
42 Soria	De 3.001 a 5.000	2010	3
42 Soria	De 3.001 a 5.000	2009	3
42 Soria	De 3.001 a 5.000	2008	3
42 Soria	De 3.001 a 5.000	2007	3
42 Soria	De 3.001 a 5.000	2006	3
42 Soria	De 3.001 a 5.000	2005	3
42 Soria	De 3.001 a 5.000	2004	3
42 Soria	De 3.001 a 5.000	2003	3
42 Soria	De 3.001 a 5.000	2002	3
42 Soria	De 3.001 a 5.000	2001	3
42 Soria	De 3.001 a 5.000	2000	4
42 Soria	De 3.001 a 5.000	1999	3
42 Soria	De 3.001 a 5.000	1998	3
42 Soria	De 3.001 a 5.000	1997	""
42 Soria	De 3.001 a 5.000	1996	3
42 Soria	De 5.001 a 10.000	2021	2
42 Soria	De 5.001 a 10.000	2020	2
42 Soria	De 5.001 a 10.000	2019	1
42 Soria	De 5.001 a 10.000	2018	1
42 Soria	De 5.001 a 10.000	2017	1
42 Soria	De 5.001 a 10.000	2016	2
42 Soria	De 5.001 a 10.000	2015	2
42 Soria	De 5.001 a 10.000	2014	2
42 Soria	De 5.001 a 10.000	2013	2
42 Soria	De 5.001 a 10.000	2012	2
42 Soria	De 5.001 a 10.000	2011	2
42 Soria	De 5.001 a 10.000	2010	2
42 Soria	De 5.001 a 10.000	2009	2
42 Soria	De 5.001 a 10.000	2008	2
42 Soria	De 5.001 a 10.000	2007	2
42 Soria	De 5.001 a 10.000	2006	2
42 Soria	De 5.001 a 10.000	2005	2
42 Soria	De 5.001 a 10.000	2004	2
42 Soria	De 5.001 a 10.000	2003	2
42 Soria	De 5.001 a 10.000	2002	2
42 Soria	De 5.001 a 10.000	2001	2
42 Soria	De 5.001 a 10.000	2000	1
42 Soria	De 5.001 a 10.000	1999	2
42 Soria	De 5.001 a 10.000	1998	2
42 Soria	De 5.001 a 10.000	1997	""
42 Soria	De 5.001 a 10.000	1996	2
42 Soria	De 10.001 a 20.000	2021	0
42 Soria	De 10.001 a 20.000	2020	0
42 Soria	De 10.001 a 20.000	2019	0
42 Soria	De 10.001 a 20.000	2018	0
42 Soria	De 10.001 a 20.000	2017	0
42 Soria	De 10.001 a 20.000	2016	0
42 Soria	De 10.001 a 20.000	2015	0
42 Soria	De 10.001 a 20.000	2014	0
42 Soria	De 10.001 a 20.000	2013	0
42 Soria	De 10.001 a 20.000	2012	0
42 Soria	De 10.001 a 20.000	2011	0
42 Soria	De 10.001 a 20.000	2010	0
42 Soria	De 10.001 a 20.000	2009	0
42 Soria	De 10.001 a 20.000	2008	0
42 Soria	De 10.001 a 20.000	2007	0
42 Soria	De 10.001 a 20.000	2006	0
42 Soria	De 10.001 a 20.000	2005	0
42 Soria	De 10.001 a 20.000	2004	0
42 Soria	De 10.001 a 20.000	2003	0
42 Soria	De 10.001 a 20.000	2002	0
42 Soria	De 10.001 a 20.000	2001	0
42 Soria	De 10.001 a 20.000	2000	0
42 Soria	De 10.001 a 20.000	1999	0
42 Soria	De 10.001 a 20.000	1998	0
42 Soria	De 10.001 a 20.000	1997	""
42 Soria	De 10.001 a 20.000	1996	0
42 Soria	De 20.001 a 30.000	2021	0
42 Soria	De 20.001 a 30.000	2020	0
42 Soria	De 20.001 a 30.000	2019	0
42 Soria	De 20.001 a 30.000	2018	0
42 Soria	De 20.001 a 30.000	2017	0
42 Soria	De 20.001 a 30.000	2016	0
42 Soria	De 20.001 a 30.000	2015	0
42 Soria	De 20.001 a 30.000	2014	0
42 Soria	De 20.001 a 30.000	2013	0
42 Soria	De 20.001 a 30.000	2012	0
42 Soria	De 20.001 a 30.000	2011	0
42 Soria	De 20.001 a 30.000	2010	0
42 Soria	De 20.001 a 30.000	2009	0
42 Soria	De 20.001 a 30.000	2008	0
42 Soria	De 20.001 a 30.000	2007	0
42 Soria	De 20.001 a 30.000	2006	0
42 Soria	De 20.001 a 30.000	2005	0
42 Soria	De 20.001 a 30.000	2004	0
42 Soria	De 20.001 a 30.000	2003	0
42 Soria	De 20.001 a 30.000	2002	0
42 Soria	De 20.001 a 30.000	2001	0
42 Soria	De 20.001 a 30.000	2000	0
42 Soria	De 20.001 a 30.000	1999	0
42 Soria	De 20.001 a 30.000	1998	0
42 Soria	De 20.001 a 30.000	1997	""
42 Soria	De 20.001 a 30.000	1996	0
42 Soria	De 30.001 a 50.000	2021	1
42 Soria	De 30.001 a 50.000	2020	1
42 Soria	De 30.001 a 50.000	2019	1
42 Soria	De 30.001 a 50.000	2018	1
42 Soria	De 30.001 a 50.000	2017	1
42 Soria	De 30.001 a 50.000	2016	1
42 Soria	De 30.001 a 50.000	2015	1
42 Soria	De 30.001 a 50.000	2014	1
42 Soria	De 30.001 a 50.000	2013	1
42 Soria	De 30.001 a 50.000	2012	1
42 Soria	De 30.001 a 50.000	2011	1
42 Soria	De 30.001 a 50.000	2010	1
42 Soria	De 30.001 a 50.000	2009	1
42 Soria	De 30.001 a 50.000	2008	1
42 Soria	De 30.001 a 50.000	2007	1
42 Soria	De 30.001 a 50.000	2006	1
42 Soria	De 30.001 a 50.000	2005	1
42 Soria	De 30.001 a 50.000	2004	1
42 Soria	De 30.001 a 50.000	2003	1
42 Soria	De 30.001 a 50.000	2002	1
42 Soria	De 30.001 a 50.000	2001	1
42 Soria	De 30.001 a 50.000	2000	1
42 Soria	De 30.001 a 50.000	1999	1
42 Soria	De 30.001 a 50.000	1998	1
42 Soria	De 30.001 a 50.000	1997	""
42 Soria	De 30.001 a 50.000	1996	1
42 Soria	De 50.001 a 100.000	2021	0
42 Soria	De 50.001 a 100.000	2020	0
42 Soria	De 50.001 a 100.000	2019	0
42 Soria	De 50.001 a 100.000	2018	0
42 Soria	De 50.001 a 100.000	2017	0
42 Soria	De 50.001 a 100.000	2016	0
42 Soria	De 50.001 a 100.000	2015	0
42 Soria	De 50.001 a 100.000	2014	0
42 Soria	De 50.001 a 100.000	2013	0
42 Soria	De 50.001 a 100.000	2012	0
42 Soria	De 50.001 a 100.000	2011	0
42 Soria	De 50.001 a 100.000	2010	0
42 Soria	De 50.001 a 100.000	2009	0
42 Soria	De 50.001 a 100.000	2008	0
42 Soria	De 50.001 a 100.000	2007	0
42 Soria	De 50.001 a 100.000	2006	0
42 Soria	De 50.001 a 100.000	2005	0
42 Soria	De 50.001 a 100.000	2004	0
42 Soria	De 50.001 a 100.000	2003	0
42 Soria	De 50.001 a 100.000	2002	0
42 Soria	De 50.001 a 100.000	2001	0
42 Soria	De 50.001 a 100.000	2000	0
42 Soria	De 50.001 a 100.000	1999	0
42 Soria	De 50.001 a 100.000	1998	0
42 Soria	De 50.001 a 100.000	1997	""
42 Soria	De 50.001 a 100.000	1996	0
42 Soria	De 100.001 a 500.000	2021	0
42 Soria	De 100.001 a 500.000	2020	0
42 Soria	De 100.001 a 500.000	2019	0
42 Soria	De 100.001 a 500.000	2018	0
42 Soria	De 100.001 a 500.000	2017	0
42 Soria	De 100.001 a 500.000	2016	0
42 Soria	De 100.001 a 500.000	2015	0
42 Soria	De 100.001 a 500.000	2014	0
42 Soria	De 100.001 a 500.000	2013	0
42 Soria	De 100.001 a 500.000	2012	0
42 Soria	De 100.001 a 500.000	2011	0
42 Soria	De 100.001 a 500.000	2010	0
42 Soria	De 100.001 a 500.000	2009	0
42 Soria	De 100.001 a 500.000	2008	0
42 Soria	De 100.001 a 500.000	2007	0
42 Soria	De 100.001 a 500.000	2006	0
42 Soria	De 100.001 a 500.000	2005	0
42 Soria	De 100.001 a 500.000	2004	0
42 Soria	De 100.001 a 500.000	2003	0
42 Soria	De 100.001 a 500.000	2002	0
42 Soria	De 100.001 a 500.000	2001	0
42 Soria	De 100.001 a 500.000	2000	0
42 Soria	De 100.001 a 500.000	1999	0
42 Soria	De 100.001 a 500.000	1998	0
42 Soria	De 100.001 a 500.000	1997	""
42 Soria	De 100.001 a 500.000	1996	0
42 Soria	Más de 500.000	2021	0
42 Soria	Más de 500.000	2020	0
42 Soria	Más de 500.000	2019	0
42 Soria	Más de 500.000	2018	0
42 Soria	Más de 500.000	2017	0
42 Soria	Más de 500.000	2016	0
42 Soria	Más de 500.000	2015	0
42 Soria	Más de 500.000	2014	0
42 Soria	Más de 500.000	2013	0
42 Soria	Más de 500.000	2012	0
42 Soria	Más de 500.000	2011	0
42 Soria	Más de 500.000	2010	0
42 Soria	Más de 500.000	2009	0
42 Soria	Más de 500.000	2008	0
42 Soria	Más de 500.000	2007	0
42 Soria	Más de 500.000	2006	0
42 Soria	Más de 500.000	2005	0
42 Soria	Más de 500.000	2004	0
42 Soria	Más de 500.000	2003	0
42 Soria	Más de 500.000	2002	0
42 Soria	Más de 500.000	2001	0
42 Soria	Más de 500.000	2000	0
42 Soria	Más de 500.000	1999	0
42 Soria	Más de 500.000	1998	0
42 Soria	Más de 500.000	1997	""
42 Soria	Más de 500.000	1996	0
43 Tarragona	Total	2021	184
43 Tarragona	Total	2020	184
43 Tarragona	Total	2019	184
43 Tarragona	Total	2018	184
43 Tarragona	Total	2017	184
43 Tarragona	Total	2016	184
43 Tarragona	Total	2015	184
43 Tarragona	Total	2014	184
43 Tarragona	Total	2013	184
43 Tarragona	Total	2012	184
43 Tarragona	Total	2011	184
43 Tarragona	Total	2010	183
43 Tarragona	Total	2009	183
43 Tarragona	Total	2008	183
43 Tarragona	Total	2007	183
43 Tarragona	Total	2006	183
43 Tarragona	Total	2005	183
43 Tarragona	Total	2004	183
43 Tarragona	Total	2003	183
43 Tarragona	Total	2002	183
43 Tarragona	Total	2001	183
43 Tarragona	Total	2000	183
43 Tarragona	Total	1999	183
43 Tarragona	Total	1998	183
43 Tarragona	Total	1997	""
43 Tarragona	Total	1996	183
43 Tarragona	Menos de 101	2021	7
43 Tarragona	Menos de 101	2020	8
43 Tarragona	Menos de 101	2019	8
43 Tarragona	Menos de 101	2018	9
43 Tarragona	Menos de 101	2017	6
43 Tarragona	Menos de 101	2016	7
43 Tarragona	Menos de 101	2015	5
43 Tarragona	Menos de 101	2014	5
43 Tarragona	Menos de 101	2013	4
43 Tarragona	Menos de 101	2012	4
43 Tarragona	Menos de 101	2011	4
43 Tarragona	Menos de 101	2010	4
43 Tarragona	Menos de 101	2009	5
43 Tarragona	Menos de 101	2008	5
43 Tarragona	Menos de 101	2007	5
43 Tarragona	Menos de 101	2006	5
43 Tarragona	Menos de 101	2005	5
43 Tarragona	Menos de 101	2004	5
43 Tarragona	Menos de 101	2003	5
43 Tarragona	Menos de 101	2002	5
43 Tarragona	Menos de 101	2001	5
43 Tarragona	Menos de 101	2000	5
43 Tarragona	Menos de 101	1999	5
43 Tarragona	Menos de 101	1998	5
43 Tarragona	Menos de 101	1997	""
43 Tarragona	Menos de 101	1996	6
43 Tarragona	De 101 a 500	2021	54
43 Tarragona	De 101 a 500	2020	54
43 Tarragona	De 101 a 500	2019	55
43 Tarragona	De 101 a 500	2018	54
43 Tarragona	De 101 a 500	2017	57
43 Tarragona	De 101 a 500	2016	56
43 Tarragona	De 101 a 500	2015	55
43 Tarragona	De 101 a 500	2014	55
43 Tarragona	De 101 a 500	2013	56
43 Tarragona	De 101 a 500	2012	55
43 Tarragona	De 101 a 500	2011	56
43 Tarragona	De 101 a 500	2010	53
43 Tarragona	De 101 a 500	2009	55
43 Tarragona	De 101 a 500	2008	56
43 Tarragona	De 101 a 500	2007	57
43 Tarragona	De 101 a 500	2006	59
43 Tarragona	De 101 a 500	2005	63
43 Tarragona	De 101 a 500	2004	62
43 Tarragona	De 101 a 500	2003	62
43 Tarragona	De 101 a 500	2002	64
43 Tarragona	De 101 a 500	2001	64
43 Tarragona	De 101 a 500	2000	64
43 Tarragona	De 101 a 500	1999	64
43 Tarragona	De 101 a 500	1998	65
43 Tarragona	De 101 a 500	1997	""
43 Tarragona	De 101 a 500	1996	66
43 Tarragona	De 501 a 1.000	2021	39
43 Tarragona	De 501 a 1.000	2020	36
43 Tarragona	De 501 a 1.000	2019	35
43 Tarragona	De 501 a 1.000	2018	36
43 Tarragona	De 501 a 1.000	2017	35
43 Tarragona	De 501 a 1.000	2016	34
43 Tarragona	De 501 a 1.000	2015	37
43 Tarragona	De 501 a 1.000	2014	37
43 Tarragona	De 501 a 1.000	2013	37
43 Tarragona	De 501 a 1.000	2012	36
43 Tarragona	De 501 a 1.000	2011	35
43 Tarragona	De 501 a 1.000	2010	37
43 Tarragona	De 501 a 1.000	2009	35
43 Tarragona	De 501 a 1.000	2008	34
43 Tarragona	De 501 a 1.000	2007	36
43 Tarragona	De 501 a 1.000	2006	37
43 Tarragona	De 501 a 1.000	2005	33
43 Tarragona	De 501 a 1.000	2004	35
43 Tarragona	De 501 a 1.000	2003	35
43 Tarragona	De 501 a 1.000	2002	35
43 Tarragona	De 501 a 1.000	2001	35
43 Tarragona	De 501 a 1.000	2000	37
43 Tarragona	De 501 a 1.000	1999	36
43 Tarragona	De 501 a 1.000	1998	35
43 Tarragona	De 501 a 1.000	1997	""
43 Tarragona	De 501 a 1.000	1996	34
43 Tarragona	De 1.001 a 2.000	2021	22
43 Tarragona	De 1.001 a 2.000	2020	24
43 Tarragona	De 1.001 a 2.000	2019	24
43 Tarragona	De 1.001 a 2.000	2018	24
43 Tarragona	De 1.001 a 2.000	2017	25
43 Tarragona	De 1.001 a 2.000	2016	26
43 Tarragona	De 1.001 a 2.000	2015	26
43 Tarragona	De 1.001 a 2.000	2014	26
43 Tarragona	De 1.001 a 2.000	2013	26
43 Tarragona	De 1.001 a 2.000	2012	27
43 Tarragona	De 1.001 a 2.000	2011	27
43 Tarragona	De 1.001 a 2.000	2010	29
43 Tarragona	De 1.001 a 2.000	2009	28
43 Tarragona	De 1.001 a 2.000	2008	29
43 Tarragona	De 1.001 a 2.000	2007	29
43 Tarragona	De 1.001 a 2.000	2006	27
43 Tarragona	De 1.001 a 2.000	2005	29
43 Tarragona	De 1.001 a 2.000	2004	31
43 Tarragona	De 1.001 a 2.000	2003	32
43 Tarragona	De 1.001 a 2.000	2002	31
43 Tarragona	De 1.001 a 2.000	2001	33
43 Tarragona	De 1.001 a 2.000	2000	32
43 Tarragona	De 1.001 a 2.000	1999	33
43 Tarragona	De 1.001 a 2.000	1998	35
43 Tarragona	De 1.001 a 2.000	1997	""
43 Tarragona	De 1.001 a 2.000	1996	34
43 Tarragona	De 2.001 a 3.000	2021	14
43 Tarragona	De 2.001 a 3.000	2020	14
43 Tarragona	De 2.001 a 3.000	2019	14
43 Tarragona	De 2.001 a 3.000	2018	13
43 Tarragona	De 2.001 a 3.000	2017	13
43 Tarragona	De 2.001 a 3.000	2016	14
43 Tarragona	De 2.001 a 3.000	2015	13
43 Tarragona	De 2.001 a 3.000	2014	12
43 Tarragona	De 2.001 a 3.000	2013	13
43 Tarragona	De 2.001 a 3.000	2012	13
43 Tarragona	De 2.001 a 3.000	2011	14
43 Tarragona	De 2.001 a 3.000	2010	13
